Wall time,Step,Value
1745190369.2879307,9728,-0.03528548777103424
1745190398.889304,24576,-0.09260381013154984
1745190409.374289,32256,-0.08297687023878098
1745190412.9637172,32768,0.017488449811935425
1745190438.987299,46080,-0.003053080290555954
1745190448.9603856,53248,0.07884529232978821
1745190451.7622461,55296,0.005228050053119659
1745190466.496247,66048,-0.006327752023935318
1745190502.4324539,84480,-0.0006735548377037048
1745190508.257096,88576,-0.033660437911748886
1745190522.274651,98304,-0.022031832486391068
1745190530.942882,104448,-0.00930226594209671
1745190550.0556653,117760,0.03013012185692787
1745190561.029134,125440,-0.019139448180794716
1745190571.9751859,133120,-0.11005520820617676
1745190588.8277674,144896,-0.08009706437587738
1745190591.0468752,146432,0.002228774130344391
1745190626.3100476,163840,-0.057916052639484406
1745190660.277953,187904,-0.03092319704592228
1745190675.1851358,198144,-0.0203411728143692
1745190686.737469,206336,-0.01657545194029808
1745190696.0385695,212992,-0.012421216815710068
1745190711.466437,224256,-0.01900375634431839
1745190731.856668,238592,-0.06450530141592026
1745190739.14919,243712,-0.005733869969844818
1745190743.6280494,246784,-0.04323458671569824
1745190775.6600502,261632,-0.013094767928123474
1745190792.4607568,273408,-0.048275984823703766
1745190796.2203367,275968,-0.08396970480680466
1745190797.7076166,276992,-0.05763731524348259
1745190809.350704,285184,-0.06019650399684906
1745190813.4618568,288256,0.031088683754205704
1745190835.3487782,304640,-0.0064816344529390335
1745190836.7389417,305664,-0.06586478650569916
1745190865.100514,326656,0.04869122430682182
1745190869.2567565,329728,-0.04269440844655037
1745190869.9692552,330240,-0.005856156349182129
1745190879.6245174,337408,0.0506807342171669
1745190891.418835,346112,-0.020334908738732338
1745190923.5235364,369664,0.00868573784828186
1745190953.3458943,391680,-0.007229141891002655
1745190960.9913256,397312,-0.004934355616569519
1745190985.474028,412160,-0.020089421421289444
1745191028.5882795,439296,-0.006261002272367477
1745191034.8211374,443904,-0.07028201222419739
1745191048.9985976,454144,-0.03076128661632538
1745191090.1624627,482816,-0.0030669961124658585
1745191133.1056929,512000,-0.036311760544776917
1745191144.9865687,520192,-0.03887990862131119
1745191150.0701115,523776,-0.018153198063373566
1745191152.9846177,525824,-0.026151323691010475
1745191160.885365,531456,-0.04212561994791031
